Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-Noviembre,21.66,1.68,11.45,10.26,68.37,-0.11,2.21,1.93,43.73,0.37,7.66,6.73,77.78,0.77,13.68,12.43,46.49,2.90,8.57,6.65,19.46,0.16,9.43,8.19,64.03,-0.09,0.27,-0.54
1997-Diciembre,21.85,0.85,11.20,11.20,68.38,0.01,1.94,1.94,43.89,0.37,7.13,7.13,77.95,0.22,12.67,12.67,46.75,0.56,7.25,7.25,19.49,0.17,8.37,8.37,64.09,0.09,-0.45,-0.45
1998-Enero,22.20,1.59,10.69,1.59,69.22,1.23,2.38,1.23,44.43,1.22,7.29,1.22,78.59,0.83,11.34,0.83,47.04,0.62,8.16,0.62,19.51,0.09,5.51,0.09,64.32,0.36,0.18,0.36
1998-Febrero,22.42,1.01,11.11,2.62,69.40,0.26,1.25,1.49,44.68,0.58,5.45,1.81,80.54,2.48,11.40,3.33,47.69,1.38,9.68,2.01,19.50,-0.06,5.57,0.03,64.15,-0.27,-0.09,0.09
1998-Marzo,22.66,1.05,11.07,3.70,69.70,0.43,1.50,1.93,44.98,0.65,6.11,2.47,81.90,1.69,12.44,5.08,48.20,1.07,10.93,3.10,19.47,-0.16,5.25,-0.13,64.26,0.18,0.18,0.27
1998-Abril,22.84,0.80,10.48,4.53,70.56,1.23,2.69,3.19,45.31,0.73,6.94,3.22,83.32,1.73,13.72,6.90,49.20,2.07,12.84,5.24,19.45,-0.12,4.23,-0.25,64.20,-0.09,0.36,0.18
1998-Mayo,23.01,0.76,10.76,5.32,70.93,0.52,3.46,3.73,45.54,0.51,7.32,3.75,84.32,1.19,13.64,8.17,50.19,2.01,14.25,7.36,19.53,0.44,4.49,0.19,64.32,0.18,0.27,0.36
1998-Junio,23.20,0.80,10.78,6.17,71.00,0.10,3.17,3.83,45.61,0.15,7.43,3.91,85.80,1.76,14.17,10.07,51.15,1.91,14.10,9.41,19.63,0.52,4.59,0.72,64.50,0.27,0.45,0.64
1998-Julio,23.59,1.70,11.70,7.97,71.31,0.44,2.81,4.28,45.74,0.30,7.27,4.21,87.49,1.98,14.82,12.25,50.69,-0.90,11.19,8.43,19.76,0.63,3.29,1.35,64.55,0.09,0.36,0.73
1998-Agosto,24.07,2.02,12.70,10.15,70.43,-1.23,2.24,3.00,45.81,0.14,6.31,4.36,87.62,0.15,13.58,12.41,50.43,-0.51,11.25,7.87,19.80,0.23,2.89,1.59,64.55,0,0.36,0.73
1998-Setiembre,23.97,-0.39,12.71,9.72,69.71,-1.02,1.51,1.95,45.73,-0.17,5.49,4.18,87.88,0.30,13.57,12.75,50.57,0.28,12.50,8.17,19.93,0.65,2.91,2.25,64.90,0.54,0.81,1.27
1998-Octubre,24.05,0.31,12.87,10.07,69.76,0.07,1.91,2.02,45.73,0.01,4.97,4.19,88.37,0.56,14.50,13.38,51.77,2.37,14.59,10.74,20.37,2.20,4.84,4.50,65.02,0.18,1.45,1.45
1998-Noviembre,24.36,1.32,12.47,11.52,71.30,2.21,4.29,4.27,46.94,2.65,7.35,6.95,89.49,1.26,15.06,14.81,54.83,5.91,17.94,17.28,20.74,1.82,6.58,6.40,65.02,0,1.55,1.45
1998-Diciembre,24.55,0.75,12.36,12.36,71.26,-0.06,4.21,4.21,47.17,0.49,7.48,7.48,90.14,0.73,15.64,15.64,55.38,1.00,18.46,18.46,21.02,1.33,7.82,7.82,64.96,-0.09,1.36,1.36
1999-Enero,24.99,1.80,12.59,1.80,71.39,0.18,3.13,0.18,47.22,0.11,6.29,0.11,91.69,1.72,16.66,1.72,55.20,-0.33,17.35,-0.33,20.91,-0.53,7.15,-0.53,65.02,0.09,1.09,0.09
1999-Febrero,25.17,0.73,12.27,2.54,71.22,-0.24,2.62,-0.06,46.99,-0.49,5.17,-0.38,92.47,0.86,14.81,2.59,55.00,-0.36,15.33,-0.69,20.85,-0.27,6.92,-0.80,65.02,0,1.36,0.09
1999-Marzo,25.08,-0.37,10.69,2.16,71.07,-0.21,1.97,-0.27,46.77,-0.47,3.99,-0.85,92.75,0.30,13.24,2.90,53.95,-1.91,11.93,-2.58,20.96,0.52,7.66,-0.28,65.14,0.18,1.36,0.27
1999-Abril,25.11,0.12,9.94,2.28,70.67,-0.56,0.16,-0.83,46.88,0.23,3.47,-0.62,93.07,0.34,11.70,3.25,54.15,0.37,10.06,-2.22,21.01,0.26,8.07,-0.02,65.19,0.09,1.54,0.36
1999-Mayo,25.31,0.81,10.00,3.11,70.20,-0.67,-1.03,-1.49,47.24,0.76,3.73,0.13,93.80,0.79,11.25,4.06,54.88,1.35,9.34,-0.90,21.00,-0.05,7.54,-0.07,65.19,0,1.36,0.36
1999-Junio,25.66,1.39,10.64,4.55,70.15,-0.07,-1.20,-1.56,47.53,0.63,4.22,0.76,94.92,1.19,10.63,5.30,55.31,0.78,8.13,-0.13,20.89,-0.55,6.39,-0.62,65.31,0.18,1.26,0.54
1999-Julio,25.73,0.25,9.06,4.81,70.55,0.57,-1.07,-1.00,48.13,1.25,5.22,2.02,95.65,0.77,9.32,6.11,55.76,0.81,10.00,0.69,20.84,-0.25,5.46,-0.87,65.43,0.18,1.35,0.72
1999-Agosto,25.88,0.59,7.54,5.43,70.53,-0.02,0.14,-1.02,48.57,0.92,6.03,2.96,96.44,0.82,10.06,6.99,56.66,1.61,12.35,2.31,20.90,0.28,5.51,-0.59,65.48,0.09,1.44,0.81
1999-Setiembre,26.05,0.66,8.67,6.12,70.72,0.27,1.45,-0.75,48.83,0.54,6.79,3.52,97.14,0.73,10.53,7.77,57.41,1.32,13.53,3.67,20.98,0.40,5.25,-0.19,65.48,0,0.90,0.81
1999-Octubre,26.43,1.47,9.92,7.68,71.12,0.56,1.95,-0.20,49.20,0.74,7.57,4.28,98.03,0.91,10.92,8.75,58.45,1.81,12.90,5.54,21.72,3.51,6.59,3.31,65.54,0.09,0.81,0.90
1999-Noviembre,26.68,0.94,9.51,8.69,70.80,-0.44,-0.70,-0.64,49.36,0.34,5.15,4.64,98.96,0.96,10.59,9.79,59.06,1.04,7.71,6.64,22.03,1.43,6.19,4.79,65.66,0.18,0.98,1.08
1999-Diciembre,27.03,1.31,10.11,10.11,70.53,-0.38,-1.02,-1.02,49.49,0.27,4.92,4.92,100.00,1.05,10.94,10.94,59.37,0.52,7.20,7.20,22.09,0.29,5.10,5.10,65.95,0.44,1.52,1.52
2000-Enero,27.51,1.78,10.09,1.78,71.00,0.67,-0.55,0.67,49.71,0.45,5.27,0.45,100.50,0.50,9.61,0.50,59.89,0.88,8.50,0.88,22.16,0.31,5.99,0.31,65.95,0,1.43,0
2000-Febrero,27.91,1.45,10.88,3.25,71.35,0.49,0.18,1.16,50.10,0.79,6.62,1.24,102.01,1.51,10.32,2.01,61.16,2.12,11.20,3.01,22.17,0.05,6.33,0.36,65.89,-0.09,1.34,-0.09
2000-Marzo,28.10,0.68,12.05,3.95,71.41,0.08,0.48,1.25,50.64,1.08,8.28,2.32,102.98,0.95,11.03,2.98,61.76,0.98,14.48,4.03,22.16,-0.05,5.73,0.31,66.30,0.62,1.79,0.53
2000-Abril,28.00,-0.35,11.52,3.59,71.47,0.08,1.13,1.33,51.13,0.96,9.07,3.31,104.30,1.28,12.07,4.30,62.13,0.60,14.74,4.65,22.18,0.07,5.52,0.38,66.24,-0.09,1.61,0.44
2000-Mayo,27.98,-0.08,10.54,3.51,71.90,0.60,2.42,1.94,50.72,-0.81,7.36,2.47,105.30,0.96,12.26,5.30,62.62,0.79,14.10,5.47,22.19,0.08,5.65,0.45,66.30,0.09,1.70,0.53
2000-Junio,28.36,1.35,10.50,4.91,72.70,1.11,3.64,3.08,50.97,0.50,7.23,2.98,106.30,0.95,11.99,6.30,63.03,0.65,13.96,6.16,22.41,0.98,7.28,1.44,66.47,0.26,1.78,0.79
2000-Julio,28.73,1.32,11.67,6.29,72.61,-0.12,2.92,2.95,51.08,0.22,6.14,3.21,107.00,0.66,11.86,7.00,62.84,-0.30,12.70,5.84,22.51,0.46,8.04,1.90,66.59,0.18,1.78,0.97
2000-Agosto,28.92,0.66,11.75,6.99,72.91,0.42,3.37,3.38,50.86,-0.44,4.71,2.76,107.50,0.47,11.47,7.50,62.92,0.13,11.05,5.98,22.77,1.14,8.97,3.07,66.42,-0.26,1.42,0.71
2000-Setiembre,29.03,0.38,11.44,7.40,73.06,0.20,3.31,3.59,50.93,0.14,4.29,2.90,107.70,0.19,10.87,7.70,63.18,0.41,10.05,6.42,23.64,3.85,12.71,7.03,66.71,0.44,1.87,1.15
2000-Octubre,29.21,0.63,10.52,8.08,73.05,-0.02,2.71,3.57,51.08,0.30,3.84,3.22,108.30,0.56,10.48,8.30,63.87,1.09,9.27,7.58,23.71,0.27,9.18,7.32,66.53,-0.26,1.51,0.88
2000-Noviembre,29.46,0.83,10.40,8.97,73.21,0.22,3.40,3.80,51.42,0.66,4.17,3.90,109.50,1.11,10.65,9.50,64.52,1.02,9.24,8.67,23.82,0.48,8.14,7.83,66.36,-0.26,1.06,0.62
2000-Diciembre,29.80,1.17,10.25,10.25,73.56,0.48,4.30,4.30,52.01,1.14,5.08,5.08,110.10,0.55,10.10,10.10,65.22,1.08,9.85,9.85,24.08,1.11,9.02,9.02,66.42,0.09,0.71,0.71
2001-Enero,30.21,1.39,9.83,1.39,74.89,1.81,5.48,1.81,52.72,1.37,6.05,1.37,111.10,0.91,10.55,0.91,65.69,0.72,9.68,0.72,24.69,2.50,11.40,2.50,66.42,0,0.71,0
2001-Febrero,30.56,1.15,9.50,2.56,74.75,-0.19,4.77,1.62,53.11,0.73,5.99,2.11,112.50,1.26,10.28,2.18,66.48,1.20,8.70,1.93,24.72,0.14,11.50,2.64,66.42,0,0.80,0
2001-Marzo,31.09,1.71,10.63,4.31,74.90,0.20,4.89,1.82,53.39,0.53,5.42,2.65,113.50,0.89,10.22,3.09,66.49,0.02,7.66,1.95,24.61,-0.42,11.08,2.21,66.53,0.18,0.35,0.18
2001-Abril,31.48,1.25,12.41,5.62,75.00,0.13,4.94,1.96,53.62,0.44,4.87,3.10,114.20,0.62,9.49,3.72,66.95,0.69,7.76,2.65,24.77,0.62,11.69,2.84,66.65,0.17,0.62,0.35
2001-Mayo,31.69,0.68,13.27,6.34,75.12,0.16,4.48,2.12,53.78,0.30,6.05,3.41,115.60,1.23,9.78,5.00,67.45,0.75,7.71,3.42,24.83,0.26,11.90,3.11,66.71,0.09,0.61,0.44
2001-Junio,31.78,0.28,12.07,6.64,75.23,0.15,3.48,2.27,54.18,0.74,6.30,4.17,116.30,0.61,9.41,5.63,67.88,0.64,7.69,4.08,24.69,-0.56,10.19,2.53,66.24,-0.70,-0.35,-0.26
2001-Julio,31.97,0.61,11.28,7.29,75.20,-0.04,3.57,2.23,54.65,0.86,6.98,5.07,116.90,0.52,9.25,6.18,67.61,-0.40,7.59,3.66,24.63,-0.24,9.43,2.28,66.30,0.09,-0.44,-0.18
2001-Agosto,32.23,0.80,11.43,8.14,75.45,0.34,3.48,2.57,55.33,1.26,8.79,6.39,117.70,0.68,9.49,6.90,67.76,0.22,7.69,3.89,24.82,0.74,8.99,3.04,66.36,0.09,-0.09,-0.09
2001-Setiembre,32.42,0.61,11.68,8.80,75.46,0.01,3.28,2.59,55.51,0.32,8.99,6.73,118.60,0.76,10.12,7.72,67.79,0.04,7.30,3.94,25.04,0.91,5.91,3.98,66.94,0.88,0.35,0.79
2001-Octubre,32.42,-0.01,10.97,8.79,74.46,-1.33,1.93,1.22,55.92,0.75,9.47,7.52,118.80,0.17,9.70,7.90,67.91,0.18,6.33,4.12,25.10,0.25,5.89,4.24,66.94,0,0.61,0.79
2001-Noviembre,32.71,0.89,11.04,9.76,75.42,1.29,3.02,2.53,56.31,0.70,9.51,8.28,119.40,0.51,9.04,8.45,68.23,0.47,5.75,4.62,25.08,-0.10,5.28,4.13,66.65,-0.43,0.44,0.35
2001-Diciembre,33.07,1.09,10.96,10.96,74.60,-1.09,1.41,1.41,56.64,0.59,8.91,8.91,119.80,0.34,8.81,8.81,68.26,0.04,4.66,4.66,25.14,0.24,4.38,4.38,66.42,-0.35,0,0
2002-Enero,33.44,1.12,10.66,1.12,75.52,1.23,0.84,1.23,57.39,1.31,8.85,1.31,120.20,0.33,8.19,0.33,68.43,0.25,4.17,0.25,25.28,0.57,2.41,0.57,66.94,0.79,0.79,0.79
2002-Febrero,33.59,0.45,9.89,1.57,75.76,0.32,1.35,1.55,57.89,0.88,9.01,2.20,121.50,1.08,8.00,1.42,68.98,0.80,3.76,1.05,25.29,0.04,2.32,0.61,66.88,-0.09,0.70,0.70
2002-Marzo,33.85,0.78,8.89,2.37,76.20,0.58,1.74,2.14,58.26,0.64,9.13,2.86,122.20,0.58,7.67,2.00,69.18,0.29,4.05,1.35,25.58,1.14,3.92,1.75,67.11,0.35,0.87,1.05
2002-Abril,33.91,0.17,7.72,2.54,76.48,0.37,1.97,2.52,58.58,0.55,9.25,3.43,123.10,0.74,7.79,2.75,69.57,0.56,3.91,1.92,25.75,0.68,3.98,2.45,67.11,0,0.70,1.05
2002-Mayo,34.12,0.63,7.66,3.19,76.46,-0.03,1.78,2.49,58.79,0.35,9.31,3.79,123.70,0.49,7.01,3.26,69.89,0.46,3.62,2.39,25.66,-0.36,3.34,2.08,67.00,-0.17,0.44,0.88
2002-Junio,34.34,0.64,8.05,3.84,76.96,0.65,2.30,3.16,59.13,0.58,9.14,4.39,125.10,1.13,7.57,4.42,70.01,0.17,3.14,2.56,25.69,0.11,4.05,2.20,67.06,0.09,1.23,0.96
2002-Julio,34.84,1.47,8.97,5.37,77.09,0.17,2.51,3.34,59.62,0.83,9.10,5.25,126.10,0.80,7.87,5.26,70.12,0.16,3.71,2.72,25.79,0.40,4.71,2.60,67.17,0.17,1.32,1.14
2002-Agosto,35.25,1.19,9.39,6.62,76.79,-0.38,1.78,2.94,59.61,-0.02,7.73,5.23,126.90,0.63,7.82,5.93,70.20,0.11,3.60,2.84,26.02,0.89,4.87,3.52,67.41,0.35,1.58,1.49
2002-Setiembre,35.39,0.40,9.16,7.04,76.53,-0.34,1.42,2.59,59.45,-0.27,7.10,4.95,127.10,0.16,7.17,6.09,70.53,0.47,4.04,3.33,26.39,1.41,5.39,4.97,67.35,-0.09,0.61,1.40
2002-Octubre,35.63,0.66,9.89,7.74,76.63,0.12,2.91,2.72,59.61,0.28,6.60,5.25,127.80,0.55,7.58,6.68,70.58,0.07,3.93,3.40,27.16,2.91,8.18,8.03,67.52,0.26,0.87,1.67
2002-Noviembre,35.99,1.03,10.05,8.86,76.48,-0.19,1.41,2.52,59.89,0.46,6.34,5.73,128.60,0.63,7.71,7.35,70.44,-0.20,3.24,3.19,27.29,0.48,8.80,8.54,67.59,0.10,1.41,1.77
2002-Diciembre,36.27,0.76,9.68,9.68,76.69,0.27,2.80,2.80,60.23,0.57,6.33,6.33,129.50,0.70,8.10,8.10,70.90,0.65,3.87,3.87,27.78,1.82,10.51,10.51,67.45,-0.20,1.56,1.56
2003-Enero,36.50,0.65,9.17,0.65,77.60,1.19,2.75,1.19,60.94,1.19,6.20,1.19,130.60,0.85,8.65,0.85,71.57,0.94,4.59,0.94,28.70,3.29,13.50,3.29,67.59,0.20,0.97,0.20
2003-Febrero,36.80,0.81,9.57,1.47,77.79,0.24,2.68,1.43,61.37,0.70,6.00,1.89,132.30,1.30,8.89,2.16,72.62,1.47,5.28,2.43,29.84,3.98,17.97,7.40,67.59,0,1.06,0.20
2003-Marzo,37.04,0.65,9.42,2.12,78.02,0.30,2.39,1.73,61.63,0.42,5.78,2.32,132.80,0.38,8.67,2.55,72.77,0.21,5.19,2.64,30.37,1.77,18.71,9.30,67.66,0.10,0.81,0.30
2003-Abril,37.39,0.96,10.28,3.11,77.99,-0.04,1.97,1.70,61.91,0.46,5.67,2.79,133.50,0.53,8.45,3.09,72.62,-0.21,4.38,2.43,30.45,0.29,18.25,9.62,67.66,0,0.81,0.30
2003-Mayo,37.59,0.52,10.17,3.65,77.89,-0.13,1.87,1.56,62.06,0.25,5.56,3.05,133.70,0.15,8.08,3.24,73.17,0.76,4.69,3.20,30.82,1.19,20.09,10.93,67.52,-0.20,0.78,0.10
2003-Junio,37.84,0.67,10.21,4.34,78.15,0.33,1.55,1.90,62.23,0.27,5.24,3.33,134.10,0.30,7.19,3.55,73.98,1.11,5.67,4.34,32.40,5.14,26.11,16.62,67.59,0.10,0.80,0.20
2003-Julio,38.15,0.80,9.49,5.18,77.86,-0.37,1.00,1.53,62.39,0.26,4.65,3.59,134.60,0.37,6.74,3.94,73.92,-0.08,5.42,4.26,33.59,3.66,30.21,20.89,67.66,0.10,0.72,0.30
2003-Agosto,38.30,0.41,8.65,5.62,78.10,0.31,1.71,1.84,62.57,0.28,4.96,3.89,135.80,0.89,7.01,4.86,73.87,-0.07,5.23,4.19,34.62,3.06,33.01,24.59,67.72,0.10,0.47,0.40
2003-Setiembre,38.35,0.13,8.36,5.75,78.16,0.08,2.13,1.92,62.82,0.41,5.68,4.31,136.40,0.44,7.32,5.33,74.03,0.22,4.96,4.41,35.14,1.50,33.14,26.47,67.59,-0.20,0.36,0.20
2003-Octubre,38.80,1.17,8.91,6.99,78.41,0.31,2.32,2.24,63.09,0.43,5.84,4.76,137.00,0.44,7.20,5.79,74.32,0.39,5.30,4.82,36.05,2.59,32.74,29.75,67.39,-0.30,-0.20,-0.10
2003-Noviembre,39.35,1.42,9.33,8.51,78.46,0.07,2.59,2.31,63.38,0.45,5.84,5.24,137.90,0.66,7.23,6.49,74.93,0.82,6.37,5.68,38.22,6.01,40.05,37.55,67.45,0.10,-0.20,0
2003-Diciembre,39.85,1.25,9.87,9.87,78.62,0.20,2.52,2.52,63.75,0.59,5.85,5.85,138.30,0.29,6.80,6.80,75.50,0.76,6.49,6.49,39.63,3.71,42.66,42.66,67.32,-0.20,-0.20,-0.20
2004-Enero,40.52,1.70,11.02,1.70,79.49,1.11,2.44,1.11,64.73,1.53,6.21,1.53,139.60,0.94,6.89,0.94,76.69,1.58,7.15,1.58,43.29,9.23,50.86,9.23,67.59,0.40,0,0.40
2004-Febrero,41.05,1.29,11.55,3.02,79.84,0.44,2.64,1.55,65.21,0.74,6.26,2.29,141.20,1.15,6.73,2.10,77.65,1.25,6.93,2.85,48.16,11.25,61.42,21.52,67.59,0,0,0.40
2004-Marzo,41.24,0.46,11.34,3.49,80.35,0.64,2.99,2.20,65.67,0.71,6.57,3.01,141.70,0.35,6.70,2.46,78.02,0.48,7.21,3.34,49.29,2.34,62.32,24.37,67.45,-0.20,-0.30,0.20
2004-Abril,41.61,0.91,11.29,4.44,81.03,0.85,3.90,3.07,66.03,0.54,6.65,3.57,143.20,1.06,7.27,3.54,78.67,0.83,8.33,4.20,49.64,0.70,62.98,25.24,67.45,0,-0.30,0.20
2004-Mayo,41.89,0.67,11.45,5.14,81.60,0.70,4.76,3.79,66.57,0.83,7.27,4.42,144.30,0.77,7.93,4.34,79.37,0.89,8.47,5.13,50.94,2.63,65.29,28.53,67.66,0.30,0.20,0.50
2004-Junio,42.34,1.07,11.89,6.26,81.73,0.16,4.58,3.96,66.84,0.40,7.40,4.84,145.20,0.62,8.28,4.99,79.62,0.31,7.62,5.46,51.95,1.99,60.35,31.09,67.93,0.40,0.50,0.90
2004-Julio,42.89,1.30,12.44,7.64,81.99,0.32,5.30,4.29,67.15,0.47,7.64,5.34,147.10,1.31,9.29,6.36,80.11,0.62,8.37,6.11,52.27,0.62,55.64,31.89,67.99,0.10,0.50,1.00
2004-Agosto,43.30,0.97,13.05,8.68,82.16,0.21,5.20,4.51,67.36,0.30,7.66,5.65,147.60,0.34,8.69,6.72,80.29,0.22,8.69,6.34,52.56,0.54,51.84,32.61,68.20,0.30,0.70,1.30
2004-Setiembre,43.64,0.78,13.78,9.52,82.34,0.22,5.35,4.74,67.88,0.78,8.05,6.47,147.80,0.14,8.36,6.87,80.77,0.60,9.10,6.98,51.96,-1.13,47.89,31.11,68.06,-0.20,0.70,1.10
2004-Octubre,43.97,0.75,13.31,10.34,82.69,0.42,5.46,5.17,68.54,0.98,8.64,7.52,149.10,0.88,8.83,7.81,81.87,1.36,10.16,8.44,52.66,1.35,46.09,32.88,68.13,0.10,1.10,1.20
2004-Noviembre,44.58,1.40,13.29,11.89,82.71,0.03,5.42,5.20,69.23,1.00,9.22,8.59,150.40,0.87,9.06,8.75,82.57,0.86,10.20,9.36,51.79,-1.65,35.53,30.68,68.13,0,1.00,1.20
2004-Diciembre,45.08,1.11,13.13,13.13,82.84,0.15,5.37,5.37,69.64,0.59,9.23,9.23,151.00,0.40,9.18,9.18,82.48,-0.11,9.25,9.25,51.02,-1.49,28.74,28.74,68.40,0.40,1.60,1.60
2005-Enero,45.96,1.96,13.42,1.96,84.03,1.44,5.71,1.44,70.58,1.36,9.04,1.36,152.20,0.79,9.03,0.79,82.97,0.59,8.19,0.59,51.43,0.79,18.79,0.79,68.67,0.39,1.60,0.39
2005-Febrero,46.46,1.09,13.19,3.08,84.11,0.10,5.35,1.53,71.10,0.74,9.04,2.11,154.00,1.18,9.07,1.99,83.99,1.23,8.16,1.83,51.45,0.04,6.82,0.83,69.01,0.49,2.10,0.89
2005-Marzo,46.85,0.83,13.61,3.94,84.17,0.07,4.75,1.61,71.43,0.46,8.77,2.58,155.20,0.78,9.53,2.78,84.81,0.98,8.70,2.82,51.41,-0.07,4.29,0.75,69.48,0.68,3.00,1.58
2005-Abril,47.30,0.96,13.66,4.93,84.59,0.50,4.39,2.11,71.89,0.64,8.88,3.24,156.60,0.90,9.36,3.71,86.24,1.69,9.62,4.56,51.57,0.31,3.90,1.07,69.68,0.29,3.30,1.88
2005-Mayo,47.95,1.37,14.45,6.37,85.20,0.72,4.41,2.85,72.25,0.50,8.52,3.75,157.20,0.38,8.94,4.11,86.96,0.83,9.56,5.43,51.41,-0.30,0.93,0.77,69.48,-0.29,2.69,1.58
2005-Junio,48.17,0.46,13.76,6.86,85.23,0.04,4.28,2.89,72.72,0.66,8.80,4.43,158.30,0.70,9.02,4.83,87.59,0.72,10.01,6.20,51.44,0.06,-0.98,0.82,69.55,0.10,2.39,1.68
2005-Julio,48.79,1.28,13.75,8.23,85.37,0.16,4.12,3.05,73.40,0.93,9.30,5.41,159.70,0.88,8.57,5.76,88.32,0.83,10.25,7.08,51.75,0.60,-1.00,1.43,69.82,0.39,2.68,2.07
2005-Agosto,49.40,1.25,14.07,9.58,85.59,0.26,4.17,3.32,73.67,0.37,9.37,5.80,161.00,0.81,9.08,6.62,88.90,0.66,10.72,7.78,52.44,1.34,-0.22,2.78,69.82,0,2.38,2.07
2005-Setiembre,49.48,0.17,13.38,9.77,85.95,0.42,4.38,3.76,74.29,0.84,9.45,6.69,161.60,0.37,9.34,7.02,89.50,0.67,10.81,8.51,54.15,3.26,4.22,6.13,70.43,0.87,3.47,2.96
2005-Octubre,50.09,1.24,13.94,11.13,87.59,1.90,5.93,5.73,75.60,1.76,10.29,8.56,161.70,0.06,8.45,7.09,90.33,0.93,10.33,9.52,54.76,1.11,3.97,7.31,70.83,0.58,3.96,3.55
2005-Noviembre,50.91,1.62,14.19,12.94,86.47,-1.27,4.55,4.38,75.63,0.04,9.25,8.61,162.00,0.19,7.71,7.28,90.07,-0.29,9.08,9.20,54.30,-0.84,4.83,6.41,70.43,-0.57,3.37,2.96
