fecha,tipo_de_cambio_de_compra_promedio_del_mes,tipo_de_cambio_de_venta_promedio_del_mes,ipc_variacion_interanual,cafe_valor_exportado,banano_valor_exportado,azucar_valor_exportado,deuda_total_pib,deuda_interna_bruta_pib,deuda_externa_pib,tasa_de_interes_activa_nominal_en_mn,tasa_de_interes_pasiva_nominal_en_mn,tasa_de_interes_activa_real_en_mn,tasa_de_interes_pasiva_real_en_mn,itcer_con_usa_variacion_interanual,itcer_global_variacion_interanual,itcer_con_la_region_capard_variacion_interanual,itcer_con_el_resto_del_mundo_variacion_interanual,imae_variacion_interanual,imae_variacion_interanual_2,base_monetaria_amplia,base_monetaria_restringida,agregado_monetario_m2,agregado_monetario_m1,exportaciones_totales,tasa_de_politica_monetaria,hidrocarburos_valor_importado
2010-03-01,8.01,8.04,3.93,17.641264053966754,-9.248085279416518,168.0181965440207,22.38,14.49,12.6,13.48,5.62,9.19,1.63,-2.21,1.75,-1.15,2.58,4.4,3.38,10.354024179393129,10.971450098389646,7.6703472007926266,5.74913370535608,28.240135403040867,4.5,18.184707646371567
2010-04-01,7.99,8.02,3.75,13.306984232016816,-8.661447283677104,60.65748815137035,22.56,14.55,12.74,13.42,5.58,9.32,1.76,-2.52,0.46,-0.7,0.74,2.15,3.23,10.327088459026612,12.92052179465113,8.078231155995752,7.722120745878414,11.06761113503083,4.5,69.49350550436569
2010-05-01,7.99,8.01,3.51,13.570050107763887,-39.51576137089097,140.65156383671228,22.64,14.72,12.71,13.36,5.53,9.52,1.95,-2.66,-1.53,-0.8,-1.85,3.02,2.9,8.922358195582447,9.116143979912827,7.469450857568383,6.427117351378797,21.352953205292646,4.5,52.87175449871029
2010-06-01,8,8.02,4.07,-4.464271766514116,-44.96662821243085,-4.377482905370034,22.9,14.65,13.06,13.36,5.5,8.93,1.38,-4.34,-3.22,-1.72,-3.77,4.26,2.5,9.092620013966268,2.104550959177054,6.70507108303422,5.582136494003187,18.48910138042026,4.5,-28.658507221519258
2010-07-01,7.99,8.02,4.12,13.402243118091484,-15.881871233917177,-19.994035260676668,23.07,15.16,13.07,13.29,5.44,8.81,1.27,-4.82,-3.3,-1.63,-3.9,1.07,2.21,3.9751806134704637,9.316820059691544,6.547865229931027,5.140186376891975,11.292614051845984,4.5,-8.718664752619532
2010-08-01,8,8.03,4.1,21.90451849219275,-24.588810312634735,11.628556785838784,23.09,15.11,13.02,13.27,5.42,8.81,1.27,-5.77,-4.37,-2.05,-5.17,1.68,2.12,1.7636189702965765,6.440716475351493,7.352365772475089,6.084158391400685,11.842231968007333,4.5,30.165710963086845
2010-09-01,8.07,8.08,3.76,58.709537512542866,-0.5585046631634505,-163.84127225321262,23.32,15.29,13.04,13.27,5.42,9.17,1.6,-5.3,-3.61,-1.21,-4.42,2.68,2.29,1.687278730246966,4.381726505447503,8.2891156841157,7.665641923342292,10.027395124090788,4.5,17.452618865465297
2010-10-01,8.04,8.07,4.51,-4.596452178659005,-17.846715067573715,-41.56341312800653,23.28,15.3,13.1,13.21,5.41,8.33,0.87,-6.57,-4.24,-1.88,-5.03,1.88,2.66,6.327607862952966,7.670776216856368,8.881097871659449,8.047807486141068,5.323253222863755,4.5,-46.223939430108096
2010-11-01,7.99,8.02,5.26,51.97869871987946,11.601932473371246,-132.42612506995482,23.59,15.68,13.12,13.21,5.4,7.55,0.13,-7.4,-5.36,-3.14,-6.12,3.88,3.13,4.14475753194079,6.373809726728474,9.090996434236942,8.20650858603873,17.81913085424769,4.5,34.8263526892878
2010-12-01,7.96,7.99,5.39,39.16316148468133,1.3485244389678464,38.57653694094472,24.45,16.13,13.4,13.25,5.34,7.46,-0.05,-7.8,-6.14,-3.49,-7.03,3.91,3.57,1.1690342585287894,4.687132426313312,8.57539192861072,7.394641065392804,33.39231542517016,4.5,23.948516661325403
2011-01-01,7.94,7.96,4.9,27.02995374615078,-19.740498939137563,-15.352483230500535,21.55,14.43,11.69,13.28,5.35,7.99,0.43,-7.94,-6.56,-4.28,-7.28,4.21,3.84,8.681100964883548,9.236125015619834,8.876717233392917,7.165930380212515,13.107008241310147,4.5,37.23113200867347
2011-02-01,7.79,7.82,5.23,41.189658097703585,22.95946790290211,109.78174622235777,22.25,15.31,11.68,13.37,5.33,7.73,0.09,-7.05,-5.34,-3.99,-5.77,4.81,3.92,5.302359464685935,12.492084520704871,9.093510409252481,6.702827882779516,37.03546547774543,4.5,15.501844250042662
2011-03-01,7.69,7.72,5,46.879536675647685,25.04338185711621,-52.095223471162285,22.87,16.08,11.64,13.37,5.3,7.97,0.29,-6.1,-4.82,-3.75,-5.16,3,3.97,7.298246609421533,8.912980060116382,9.996786827035287,8.811961847427341,19.842311224972953,4.75,59.23765751753045
2011-04-01,7.6,7.63,5.76,55.424961614821555,13.768940277318631,-10.086931321432235,22.78,16.12,11.63,13.44,5.27,7.26,-0.46,-7.21,-5.5,-4.61,-5.79,4.38,4.14,10.233387825412521,7.075851159159718,9.965675108195349,7.712210090978466,28.168223196282316,4.75,-0.928962660666599
2011-05-01,7.65,7.67,6.39,60.9319967423331,44.06687433011442,-98.20432137070925,23.31,16.49,11.67,13.37,5.28,6.56,-1.05,-6.77,-4.07,-3.83,-4.15,4.44,4.44,10.83037422982045,9.626635048743104,11.597387992799035,11.522077762870886,17.38398176651952,4.75,51.1243291100036
2011-06-01,7.76,7.8,6.42,61.948960814359744,66.10168308645856,-130.885675214972,23.4,16.64,11.66,13.39,5.26,6.55,-1.09,-5.53,-2.56,-2.4,-2.61,4.7,4.84,5.641497581368959,12.500627849549772,10.305081228460011,8.841396301234816,15.70106028427487,4.75,28.15699847320614
2011-07-01,7.74,7.77,7.04,40.20227639171914,19.386902921872682,-29.704150821016874,23.82,17.06,11.64,13.37,5.24,5.91,-1.68,-6.2,-3.54,-3.52,-3.54,5.25,5.17,10.076846485914182,11.67810768698967,11.439501930440343,10.8628684223822,18.390066431917518,5,24.581915411411437
2011-08-01,7.81,7.84,7.63,51.24669864652209,44.72952298759232,-118.31904186353373,23.6,16.87,11.59,13.45,5.25,5.41,-2.21,-5.81,-3.96,-3.43,-4.13,6.02,5.25,10.74832822682179,13.589075463466216,10.865118220008263,10.105331721635125,30.80437382163792,5,38.965080432260194
2011-09-01,7.84,7.86,7.25,79.74204172730586,38.46202128323708,14.87271540111128,24.08,17.31,11.54,13.51,5.24,5.84,-1.87,-5.87,-5.62,-4.19,-6.07,5.93,4.98,11.941862781345769,11.69251719750104,10.357627921171542,9.180467556190841,29.746300205651277,5.5,48.25387395663654
2011-10-01,7.83,7.86,6.65,84.31878462941462,26.889485922712897,-101.46966976937651,24.67,17.56,12.09,13.53,5.24,6.45,-1.32,-5.52,-6.66,-4.32,-7.39,3.47,4.49,10.041193947449933,8.901314392241488,9.913268075995418,8.118912116299803,11.628225087370225,5.5,11.672951198062442
2011-11-01,7.8,7.83,6.05,30.00144739444415,36.15105617151939,112.1161158354723,23.02,16.59,11.39,13.55,5.25,7.07,-0.76,-4.84,-6.06,-3.42,-6.9,4.93,3.94,8.970389887598351,3.845207963596131,9.766170838438981,7.972277774478087,20.63548930838266,5.5,14.47719101845344
2011-12-01,7.79,7.81,6.2,14.119986182641586,39.71988613887869,32.21912226240988,23.81,17.03,11.81,13.57,5.18,6.94,-0.96,-5.17,-6.2,-3.5,-7.05,2.54,3.49,7.336746975477482,6.3825794749401865,9.558854424368768,7.335050687674283,7.730925220529716,5.5,-10.46148839457075
2012-01-01,7.8,7.82,5.44,-7.2527625585319555,19.740498939137563,45.22062892863676,23.02,16.77,11.2,13.56,5.2,7.71,-0.22,-4.15,-4.75,-2.88,-5.22,3.14,3.26,5.998571015426002,9.524700600102243,9.680977077323938,7.162603931703693,-2.7827421653575435,5.5,19.071121601688912
2012-02-01,7.77,7.79,5.17,1.5322193938811068,0.6877176213956115,-52.44596623793507,22.61,16.57,11.12,13.49,5.2,7.91,0.03,-2.46,-2.61,-1.24,-2.93,4.02,3.21,6.196937472788022,0.7300343256030573,8.830669629144516,7.170496771079193,-4.680013582414055,5.5,15.09513831494731
2012-03-01,7.71,7.74,4.55,-15.048965878903253,12.847832477313137,36.47866989137363,22.71,16.8,11.08,13.39,5.21,8.46,0.64,-1.55,-2.09,-0.4,-2.5,4.27,3.22,4.499289574797238,4.99377219055237,10.117428698234399,7.917731515537696,-1.7551882033420618,5.5,5.004132316198273
2012-04-01,7.74,7.76,4.27,-39.60548037518903,-5.545130453621416,56.61742247816184,22.5,16.68,11.05,13.41,5.23,8.76,0.92,-0.18,-1.75,0.57,-2.35,1.63,3.15,0.2726496241308496,5.614759472961417,9.36984989502303,7.000014918391351,-6.726987670998241,5.5,-3.353956469229047
2012-05-01,7.77,7.79,3.9,-41.70522830535796,1.6632400049141793,56.55415389633682,22.65,16.81,11.05,13.43,5.25,9.18,1.3,-0.56,-2.69,0.36,-3.51,3.66,3,-3.6335486992861377,1.6333560343007036,8.099853760859332,4.27208115148332,-2.100798317947561,5.5,-7.042280033210879
2012-06-01,7.84,7.86,3.47,-32.755729685902764,-1.7535994385953657,105.52092498966461,23.89,16.61,12.5,13.46,5.2,9.65,1.67,-0.84,-3.49,-0.25,-4.35,2.77,2.82,-1.5005783586518717,3.0912458736302995,8.152176739003458,4.294545138393957,-5.1569897938257725,5,11.380815503631236
2012-07-01,7.81,7.83,2.86,3.066399320224722,15.767080134516487,-31.500098707553683,23.98,16.75,12.45,13.51,5.34,10.35,2.41,-0.56,-3.12,-0.35,-3.85,2.5,2.69,0.5251883050577888,4.392545405880277,7.89926447943845,3.9652612060075754,-5.027810152546852,5,0.5148671873328681
2012-08-01,7.87,7.89,2.71,1.5984722020649045,7.199190346044881,108.13237662036568,24.66,17.29,12.53,13.49,5.34,10.49,2.56,-0.26,-2.25,-0.28,-2.73,2.92,2.75,1.7897230540018683,1.475122265459028,7.855595291117012,3.0408638705898383,-2.592914054263229,5,-8.9762309156173
2012-09-01,7.96,7.98,3.28,-28.132345583348073,-7.498815059336472,156.5893084486615,24.67,17.36,12.52,13.52,5.38,9.91,2.03,0.27,0.04,0.6,-0.01,2.11,2.99,5.340655819650841,4.963072552554593,8.77219563544358,4.982497994190105,-4.153493440888312,5,4.92483503652954
2012-10-01,7.86,7.88,3.35,-6.685455543950081,15.6950660390891,148.49475762917305,24.64,17.3,12.62,13.59,5.4,9.91,1.99,-0.78,-0.46,-0.31,-0.38,4.95,3.3,6.6408530675843735,5.456549049141657,9.356399966251061,5.666515520605664,0.013652809086739381,5,12.77478194238899
2012-11-01,7.86,7.88,3.11,-5.940870669060949,7.6744369215961505,49.84867123122751,24.65,17.39,12.59,13.55,5.41,10.12,2.23,-0.59,-0.16,-0.37,0.05,3.19,3.61,9.301085361085626,11.726988231792745,9.128880526780137,5.059126420498394,2.290033127873148,5,-10.758264383172289
2012-12-01,7.88,7.91,3.45,-51.95944048338919,3.184541564068555,-67.65576333273246,24.4,17.04,12.63,13.47,5.38,9.69,1.87,-0.51,0.4,-0.41,0.81,2.64,3.85,11.97511174125463,13.317184205885013,9.660561021487268,6.480299781728682,-15.842533696588745,5,21.505917817949616
2013-01-01,7.87,7.89,3.86,-38.18444759464552,32.7438670324399,-12.259334829134438,23.69,16.91,11.82,13.52,5.42,9.3,1.5,-1.28,-0.34,-0.44,-0.25,4.23,4.01,9.661115484582616,4.545805435468786,8.014795054124768,3.581727424598924,10.694485519894492,5,7.819585521689021
2013-02-01,7.81,7.84,4.18,-51.62645386939077,35.32422677641889,12.79896856234144,25.11,17.04,13.08,13.5,5.45,8.94,1.21,-1.58,-1.67,-1.03,-1.81,4.07,4,4.589401745850452,8.65282371396674,8.938312757021194,5.084203731595949,-7.721691757246774,5,18.714416345388507
2013-03-01,7.8,7.82,4.34,-51.3935882210462,10.786051695991095,34.256129629709875,24.56,16.59,13.04,13.5,5.46,8.78,1.07,-1.67,-1.49,-0.68,-1.68,0.61,3.91,4.352602763295721,6.747764659479749,8.472026767129037,5.251964770062401,-5.101324295809473,5,-5.621446246053541
2013-04-01,7.78,7.81,4.13,-3.673478958161258,26.260238805475744,7.171421842332837,25.17,17.09,13.12,13.53,5.45,9.03,1.27,-2.35,-1.67,-1.75,-1.59,6.38,3.81,5.899185478400781,13.666344120694163,9.571271024931427,7.943423951676287,1.5419806657702928,5.25,0.36673184866300446
2013-05-01,7.78,7.8,4.27,-9.618943516995238,16.73183902019062,85.16257005207154,25.05,17.11,13.09,13.59,5.44,8.94,1.12,-2.73,-1.61,-2.41,-1.31,4.11,3.68,8.734073244398921,14.518357363584755,9.435616859505203,7.065327478659178,10.233782017122817,5.25,6.979623389557066
2013-06-01,7.81,7.83,4.79,-10.106227792781741,-10.927285247774199,33.24691944891826,25.23,17.22,13.16,13.62,5.46,8.42,0.64,-3.29,-2.41,-3.1,-2.14,2.75,3.54,13.315894949130325,11.1518952417061,10.570359681113217,9.001396993653543,-2.8548968297442023,5.25,-2.4143266149756926
2013-07-01,7.81,7.83,4.74,-20.263181189795443,3.1610787358868464,95.69231349633749,24.69,17.31,12.55,13.62,5.45,8.48,0.68,-2.67,-2.2,-2.46,-2.06,3.87,3.42,10.781505025632931,9.119341555252802,9.74143559727736,7.784460208886479,5.500051751855661,5.25,18.995786384165392
2013-08-01,7.89,7.91,4.42,-21.36259805239229,13.512280957786205,17.83225946709006,24.48,17.17,12.53,13.62,5.47,8.82,1.01,-2.6,-2.17,-2.12,-2.12,3.52,3.28,11.564780947150766,8.673579951993382,9.940689535939029,8.131710687604077,-3.1208553705905473,5.25,-50.522547198396325
2013-09-01,7.93,7.95,4.21,-51.708534797914666,11.130133001653375,-85.32632254414101,24.66,17.36,12.49,13.63,5.5,9.04,1.24,-3.29,-3.31,-2.82,-3.4,3.94,3.11,8.9389104892458,7.753096320753805,9.614067636425716,8.431096316874509,-7.043120981720019,5.25,32.504779844485654
2013-10-01,7.95,7.97,4.15,-75.75732853070885,30.838369967116066,-41.11984468162646,24.15,16.96,12.5,13.66,5.47,9.13,1.26,-2,-1.78,-1.6,-1.77,3.28,2.99,5.659512655826049,9.173182311885064,9.811582241478334,7.759072891968266,4.615383007402762,5,5.589682544664498
2013-11-01,7.88,7.91,4.63,-68.62847822989045,20.800866372993944,-2.885476119756092,24.7,17.19,12.84,13.68,5.5,8.65,0.83,-2.96,-2.94,-2.7,-2.95,3.28,2.97,3.6372710116825857,8.25911731702007,9.381413959994944,6.682512394158202,-0.6578562793037257,5,24.373577277906833
2013-12-01,7.85,7.87,4.39,-30.18492327165614,23.694807422611987,-19.025522622809987,25.75,17.67,13.34,13.7,5.46,8.92,1.03,-3.15,-3.38,-3.05,-3.42,2.1,3.11,1.6294325010923316,4.112402568209994,8.161345260117159,4.288797544792722,0.24251254761802343,5,-25.850397208622677
2014-01-01,7.83,7.85,4.14,-8.512042149392984,-0.8842592477463551,6.579910051514393,24.62,17.39,12.18,13.78,6.06,9.26,1.84,-2.9,-3.12,-2.81,-3.27,3.79,3.44,4.322182108854022,8.331473726113181,8.241597585888094,6.729969226190136,0.8655980951608022,5,34.49145740857995
2014-02-01,7.75,7.77,3.5,-19.700187627500387,1.4770033927226311,-3.121501934792459,24.64,17.49,12.14,13.81,6.07,9.96,2.48,-3.16,-3.41,-3.45,-3.45,3.8,3.82,10.67953000184314,6.425998797933019,8.126654321700855,4.397964702094903,1.2112278938767318,5,-5.839629309849403
2014-03-01,7.72,7.74,3.25,11.130899738884192,13.076539850267554,-46.24103555942823,24.61,17.46,12.15,13.8,5.5,10.22,2.18,-2.69,-3.14,-4.08,-2.9,4.9,4.21,11.216193151318699,6.569571886191916,7.406542391333382,3.5295023415853777,5.371882002644313,4.75,19.388011135886973
2014-04-01,7.74,7.76,3.27,-13.556258884818106,20.61749994677342,-43.90102927523651,24.74,17.7,12.15,13.81,5.5,10.21,2.16,-1.87,-2.43,-3.42,-2.18,3.55,4.55,8.32136580312639,-1.3221039151002145,6.489630054799456,1.5482453826557219,5.558201445933797,4.75,-3.553631074314101
2014-05-01,7.72,7.75,3.22,-0.8237452852581484,5.173893151068443,-41.34097226427889,24.53,17.5,12.13,13.83,5.51,10.28,2.22,-1.72,-2.01,-3.35,-1.66,4.96,4.83,7.974544803363237,3.3002072195008836,7.9579805210906684,4.998554577115044,-1.9667963205192152,4.75,-10.21101195332852
2014-06-01,7.79,7.82,3.13,-14.152859601751011,8.825504775488735,-5.340661271825642,25.14,18.08,12.15,13.84,5.5,10.38,2.3,-1.17,-0.85,-2.49,-0.41,4.48,4.92,2.44606619924177,6.279977808836712,7.635809342417588,5.014306576104133,9.811901261557665,4.5,17.456282584981597
2014-07-01,7.76,7.79,3.41,-18.291741559305308,21.637485203649476,-26.318371275153176,25.08,18.14,12.1,13.87,5.46,10.11,1.98,-2,-1.43,-2.53,-1.15,5.24,4.72,6.234517618093882,6.887314523834576,7.793476335576877,5.257412429039832,13.621563412884896,4.5,-3.384200885190136
2014-08-01,7.79,7.81,3.7,3.880557442179544,6.060350003882498,41.06779782966976,25.07,18.18,12.12,13.74,5.46,9.68,1.7,-3.11,-2.74,-3.41,-2.59,3.58,4.41,7.28816935911567,5.619831724676061,8.149545562265459,6.134084925022343,8.298371775703828,4.5,50.46850243819421
2014-09-01,7.71,7.73,3.45,1.9826864138604794,20.7731272319323,97.85914568950184,25.12,18.31,12.07,13.73,5.48,9.94,1.96,-4.48,-4.62,-4.86,-4.59,4.13,4.25,8.57860670656656,8.424714602296213,8.064459904677612,5.001759168941078,18.838403917464497,4.5,-33.64639106078329
2014-10-01,7.63,7.65,3.64,-25.157139860224788,5.2719733637458965,128.11928121862874,25.54,18.8,12.09,13.73,5.49,9.74,1.79,-5.84,-6.79,-6.23,-7.01,4.33,4.39,10.045624410647136,4.88615399867296,7.783525574836325,5.342125309326029,14.1047722785836,4.5,-1.3155727093720593
2014-11-01,7.6,7.63,3.38,15.588603818032665,-0.28039273327342684,40.48453374034793,25.17,18.34,12.13,13.7,5.49,9.99,2.04,-5.44,-6.58,-5.65,-6.91,4.63,4.7,10.276614550882002,5.103750404032681,7.682729436081104,5.706448625804583,4.409434313532579,4,-2.994779161183825
2014-12-01,7.61,7.63,2.95,-4.699277300098448,2.317034253970851,51.52482132210299,25.42,18.46,12.17,13.64,5.46,10.39,2.44,-5.08,-7.3,-5.49,-7.9,5.84,4.87,10.591023590333748,7.205668200109905,8.133678796182764,6.862917495001852,10.825084836493204,4,0.9379210361148971
2015-01-01,7.63,7.65,2.32,21.528126110654977,0,-9.961215625956932,24.75,17.85,11.83,13.6,5.45,11.02,3.06,-4.92,-7.24,-5.53,-7.78,4.83,4.75,4.3593208400288574,9.9339563473956,10.14092873422765,9.723458224298653,5.1101751026336295,4,-87.36064925597358
2015-02-01,7.63,7.66,2.44,9.47986750617531,0,24.063927210514713,25.35,18.39,11.91,13.48,5.45,10.78,2.94,-3.88,-6.47,-4.39,-7.11,4.49,4.37,3.118956276249918,8.516678483983142,9.829913456575312,9.273369348170135,9.398916819168068,3.5,-36.11189475109189
2015-03-01,7.61,7.64,2.43,-1.9316208064057427,0,-73.49212812182398,24.94,17.93,11.87,13.37,5.45,10.69,2.95,-3.76,-6.97,-3.31,-8.09,4.74,3.93,8.71073785257277,11.330298040547504,10.4814739619421,10.530014654836428,-3.0669135696995475,3.5,-39.8047632836863
2015-04-01,7.69,7.72,2.58,3.8342594139761488,0,2.271036333845089,25.02,17.8,12.05,13.29,5.43,10.44,2.78,-3.27,-6.44,-2.91,-7.51,2.73,3.65,9.263015139993769,11.987235477630342,11.550647363101696,11.822549955538797,-2.6967441560802996,3.5,-22.990321237371614
2015-05-01,7.66,7.7,2.55,-2.6106655356036512,0,46.204213737058986,25.59,18.25,12.04,13.21,5.49,10.39,2.86,-3.28,-6.5,-3.02,-7.56,2.16,3.67,8.283888220721813,11.21616791764577,11.132675957189342,11.094971135073806,5.2781884777559185,3.5,-20.957014460447798
2015-06-01,7.63,7.66,2.39,1.471447035400253,0,28.322218569539537,25.08,17.77,12.04,13.15,5.49,10.51,3.03,-4.24,-7.82,-4.39,-8.86,4.51,4.05,13.559076144646731,12.469210130093344,11.824140310246278,13.690566045642072,2.12029922353949,3.25,-41.51379304388669
2015-07-01,7.63,7.66,2.32,5.986175497861179,0,86.04061902554214,25.83,18.48,11.98,13.12,5.48,10.55,3.09,-3.73,-8.23,-4.64,-9.33,4.76,4.64,10.070658934915855,10.030716076194324,11.425470042608232,12.432812506834878,1.7348120307395298,3.25,-9.998945078983912
2015-08-01,7.63,7.66,1.96,-18.162975462177755,0,-70.62306641808082,25.23,17.98,11.95,13.09,5.48,10.91,3.45,-3.74,-8.82,-5.01,-9.98,5.23,5.08,7.829765450986592,14.344118392001981,11.431020587803609,12.513940252094358,0.49078452675361817,3.25,-58.871101570987335
